pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_61421,11-10-2016 00:00,27-12-2016 09:28,2,Sable,0.68,5.26,13,9,1,2
ANSL_62283,19-09-2011 00:00,30-10-2016 12:50,1,Tan,0,41.77,0,7,0,2
ANSL_76736,18-04-2018 00:00,09-05-2019 18:08,2,Lynx Point,0.89,40.02,18,4,0,1
ANSL_52707,12-07-2013 00:00,07-08-2016 17:31,1,White,0.66,23.04,0,1,0,2
ANSL_62626,20-10-2016 00:00,21-02-2017 13:47,1,Blue,0.31,13.18,7,1,0,1
ANSL_68263,07-12-2016 00:00,28-12-2017 09:00,1,Black,0.99,30.16,16,9,0,1
ANSL_58481,14-07-2014 00:00,06-08-2016 17:18,2,Red,0.11,15.73,13,9,1,2
ANSL_76516,18-07-2018 00:00,04-05-2019 18:43,1,Brown Tabby,0.52,44.97,0,1,0,1
ANSL_58033,16-11-2012 00:00,08-12-2016 10:58,2,Black,0.24,30.43,15,4,1,1
ANSL_59069,21-05-2017 00:00,16-08-2017 16:00,0,Brown Brindle,0.73,11.79,0,1,1,2
ANSL_75625,20-03-2013 00:00,13-04-2019 19:00,1,Black,0.45,32.16,0,1,0,1
ANSL_50123,27-07-2016 00:00,13-11-2016 17:11,1,Orange Tabby,0.92,22.09,0,1,0,1
ANSL_68886,11-12-2017 00:00,31-01-2018 16:44,,Tan,0.89,25.49,18,4,2,2
ANSL_55489,04-07-2016 00:00,13-11-2016 11:33,2,Black,0.85,12.46,13,9,1,2
ANSL_53662,02-12-2015 00:00,22-12-2016 13:09,,Brown,0.62,49.92,15,4,2,4
ANSL_55236,23-12-2003 00:00,13-01-2018 00:00,0,Black,0.86,18.89,0,7,1,2
ANSL_55721,12-03-2016 00:00,01-04-2018 09:17,,Red,0.01,35.84,15,4,2,4
ANSL_76452,12-11-2018 00:00,03-05-2019 17:46,2,Black,0.69,38.89,0,7,0,2
ANSL_61244,06-05-2016 00:00,26-05-2017 13:06,1,Red Merle,0.03,12.69,0,1,0,2
ANSL_63696,06-07-2017 00:00,27-12-2017 09:00,2,White,0.64,20.86,16,9,0,1
ANSL_65645,03-07-2017 00:00,28-10-2017 16:38,2,Chocolate,0.47,30.69,13,9,1,2
ANSL_73687,08-06-2018 00:00,06-03-2019 16:22,0,Tan,0.47,10.9,0,1,1,2
ANSL_50769,27-02-2016 00:00,15-07-2018 12:03,0,White,0.63,9.79,7,1,1,2
ANSL_62605,01-07-2016 00:00,13-10-2016 19:05,0,Tan,0.64,48.35,0,1,1,2
ANSL_73471,08-06-2016 00:00,14-09-2016 10:56,1,Cream Tabby,0.42,13.41,7,1,0,1
ANSL_70046,28-07-2011 00:00,28-07-2016 12:16,1,Black,0.95,7.26,0,7,0,2
ANSL_75525,19-03-2018 00:00,11-04-2019 15:00,2,Brown Tabby,0.92,47.47,0,3,1,1
ANSL_64563,05-11-2018 00:00,08-02-2019 18:15,0,White,0.3,30.21,0,1,1,1
ANSL_51582,01-01-2015 00:00,22-01-2018 14:00,1,Lynx Point,0.99,8.1,0,7,0,1
ANSL_52637,24-04-2018 00:00,10-07-2018 15:21,2,Cream,0.48,49.95,13,9,1,2
ANSL_64161,28-09-2016 00:00,17-11-2017 18:22,0,Calico,0.62,36.17,13,9,1,1
ANSL_66513,17-11-2015 00:00,14-12-2016 14:16,1,Orange Tabby,0.98,32.33,13,9,0,1
ANSL_51440,21-12-2017 00:00,30-09-2018 15:34,1,Tricolor,0.59,45.4,13,9,0,2
ANSL_71303,20-10-2012 00:00,09-11-2016 11:03,2,Torbie,0.65,19.21,18,4,1,1
ANSL_73417,06-09-2016 00:00,25-03-2018 13:56,0,Lynx Point,0.84,7.22,13,9,1,1
ANSL_53977,13-08-2013 00:00,04-09-2018 13:41,1,Blue,0.85,11.33,0,7,0,1
ANSL_51221,14-06-2016 00:00,09-07-2018 17:04,0,Tricolor,0.74,8.78,0,1,1,2
ANSL_62420,22-05-2017 00:00,18-09-2017 18:19,1,Black,0.12,31.92,0,1,0,1
ANSL_63594,08-07-2017 00:00,08-10-2017 18:45,1,Brown Tabby,0.8,19.63,0,1,0,1
ANSL_55956,20-08-2013 00:00,19-09-2018 16:00,0,Brown,0.07,33.26,0,1,1,2
ANSL_65373,31-10-2015 00:00,02-09-2016 11:59,2,Black,0.84,31.02,18,4,0,1
ANSL_53257,19-12-2011 00:00,09-10-2016 15:49,0,Black,0.61,44.23,0,7,1,2
ANSL_68490,18-05-2016 00:00,16-06-2017 15:55,1,White,0.29,33.11,0,1,0,2
ANSL_64953,13-05-2016 00:00,08-06-2017 18:42,1,Red,0.23,9.74,0,1,0,2
ANSL_51293,29-10-2014 00:00,29-11-2016 11:02,2,Black,1,28.7,0,7,1,2
ANSL_56277,04-11-2017 00:00,10-12-2017 14:41,,Black,0.94,39.09,13,9,2,1
ANSL_67746,04-07-2016 00:00,28-09-2016 15:50,1,Black,0.82,28.12,0,1,0,1
ANSL_63493,21-08-2016 00:00,03-10-2018 11:13,2,Brown,0.28,22.69,13,9,0,2
ANSL_55813,17-05-2014 00:00,06-06-2017 12:40,1,Red,0.63,45.49,0,7,0,2
ANSL_74779,02-08-2017 00:00,05-09-2018 09:56,0,White,0.37,29.93,13,9,1,1
ANSL_58134,03-12-2016 00:00,10-03-2017 19:00,1,Blue Tabby,0.67,32.09,0,1,0,1
ANSL_72200,04-11-2016 00:00,25-11-2017 17:06,,Black,0.71,27.64,15,4,2,4
ANSL_73631,17-03-2018 00:00,12-06-2018 12:37,1,Sable,0.8,20.06,0,1,0,2
ANSL_54647,26-07-2015 00:00,20-08-2016 18:45,1,White,0.6,37.66,0,1,0,1
ANSL_69022,06-11-2012 00:00,27-11-2016 16:36,1,Brown Brindle,0.62,29.04,0,7,0,2
ANSL_73360,21-07-2016 00:00,02-09-2016 15:41,,Black,0.2,39.18,13,9,2,1
ANSL_65367,31-01-2012 00:00,23-02-2017 17:36,0,Blue Merle,0.06,16.2,0,7,1,2
ANSL_59357,12-08-2017 00:00,04-06-2018 10:08,1,Cream Tabby,0.1,11.61,7,1,0,1
ANSL_68259,29-09-2016 00:00,21-10-2018 11:49,2,Red,0.19,6.68,13,9,1,2
ANSL_58723,17-07-2016 00:00,09-10-2016 16:06,0,Calico,0.82,7.57,0,1,1,1
ANSL_76829,03-06-2014 00:00,11-05-2019 00:00,2,Brown Brindle,0.39,20.49,13,9,0,2
ANSL_68926,16-04-2018 00:00,07-08-2018 09:06,2,Blue,0.84,14.21,13,9,1,1
ANSL_73789,31-07-2016 00:00,26-02-2017 18:30,1,Sable,0.27,13.12,0,1,0,2
ANSL_65345,08-11-2016 00:00,31-12-2018 18:27,0,White,0.17,44.99,0,1,1,2
ANSL_55887,05-01-2016 00:00,04-11-2017 18:14,1,Blue,0.06,31.36,0,1,0,2
ANSL_57058,30-09-2008 00:00,20-10-2018 12:51,1,Blue Merle,0.28,46.12,0,7,0,2
ANSL_50856,06-06-2012 00:00,27-06-2018 11:26,0,Cream,0.1,35.86,0,7,1,2
ANSL_75178,29-07-2017 00:00,19-10-2017 20:36,1,Orange Tabby,0.91,31.48,7,1,0,1
ANSL_58112,06-04-2013 00:00,15-10-2017 08:55,0,Brown Brindle,0,32.48,7,1,1,2
ANSL_57920,15-12-2013 00:00,05-01-2017 09:00,2,Brown Tabby,0.2,7.66,16,9,0,1
ANSL_52586,27-04-2016 00:00,22-05-2018 12:24,0,Brown Tabby,0.04,6.53,0,1,1,1
ANSL_55951,12-12-2016 00:00,03-04-2017 13:28,0,Black,0.85,9.82,13,9,1,1
ANSL_76066,30-03-2017 00:00,24-04-2019 17:34,2,Gray Tabby,0.11,35.9,17,9,1,1
ANSL_69052,02-08-2017 00:00,27-08-2018 18:16,1,Black,0.91,13.4,0,1,0,1
ANSL_52785,03-06-2016 00:00,24-08-2016 17:04,,Black,0.2,28.75,18,4,2,1
ANSL_61552,19-01-2011 00:00,09-02-2019 12:28,0,Black,0.03,17.5,0,7,1,2
ANSL_56462,25-11-2016 00:00,15-01-2017 12:30,,Brown Tabby,0.4,12.06,18,4,2,1
ANSL_57994,14-12-2017 00:00,28-07-2018 15:24,0,Black,0.43,37.19,13,9,1,2
ANSL_60041,19-12-2015 00:00,11-01-2017 17:21,0,Tan,0.03,29.4,0,7,1,2
ANSL_52932,14-04-2018 00:00,08-09-2018 16:09,1,Black,0.83,5.48,0,1,0,1
ANSL_72669,10-09-2018 00:00,03-04-2019 11:25,2,Calico,0.45,7.63,17,9,1,1
ANSL_69236,26-08-2015 00:00,22-09-2017 17:02,1,Red,0.23,10.08,0,1,0,2
ANSL_50095,26-09-2013 00:00,16-10-2018 15:32,2,Buff,0.24,15.92,0,7,1,2
ANSL_75304,19-01-2018 00:00,06-04-2019 14:09,0,Brown Tabby,0.13,22.61,0,1,1,1
ANSL_64217,30-06-2017 00:00,04-09-2017 10:32,2,Lynx Point,0.46,21.78,18,4,1,1
ANSL_57278,22-01-2014 00:00,12-09-2016 13:20,1,Blue,0.96,39.83,18,4,0,2
ANSL_76550,31-03-2017 00:00,05-05-2019 17:02,2,Tan,0.85,30.8,0,1,0,2
ANSL_75224,19-07-2015 00:00,04-04-2019 12:12,1,White,0.87,5.49,0,7,0,2
ANSL_68443,07-07-2017 00:00,06-07-2018 16:36,0,White,0.62,24.32,0,1,1,2
ANSL_71044,21-05-2015 00:00,24-06-2017 16:17,0,Brown Brindle,0.82,29.77,0,1,1,2
ANSL_50127,17-06-2012 00:00,18-11-2017 11:19,0,Blue,0.9,18.97,0,7,1,2
ANSL_64379,11-01-2014 00:00,08-08-2016 11:41,1,Black,0.7,31.76,0,7,0,2
ANSL_55201,20-01-2017 00:00,10-02-2018 15:11,,Red,0.33,26.79,15,4,2,4
ANSL_76458,31-03-2016 00:00,03-05-2019 16:56,1,Black,0.16,8.69,0,1,0,1
ANSL_58264,21-04-2011 00:00,09-09-2016 17:38,1,White,0.72,12.47,7,1,0,2
ANSL_64237,13-08-2014 00:00,14-10-2017 11:44,2,White,0.34,12.22,13,9,0,2
ANSL_54882,03-04-2015 00:00,12-06-2018 18:13,1,Tan,0.93,10.67,0,7,0,2
ANSL_73326,09-11-2009 00:00,27-01-2019 00:00,1,Orange Tabby,0.58,38.37,13,9,0,1
ANSL_50312,02-09-2014 00:00,24-09-2016 09:00,2,Brown Tabby,0.25,48.43,16,9,0,1
ANSL_74205,26-05-2013 00:00,20-06-2017 16:54,1,Tricolor,0.28,12.77,0,1,0,2
ANSL_57574,18-09-2009 00:00,09-10-2017 17:26,0,Black,0.44,31.74,0,7,1,2
ANSL_55486,28-09-2016 00:00,24-10-2018 17:13,0,Tan,0.34,35.26,0,1,1,2
ANSL_57740,12-06-2013 00:00,06-07-2017 17:46,1,Tan,0.87,26.16,0,1,0,2
ANSL_75160,19-02-2018 00:00,17-09-2018 00:00,0,Torbie,0.98,10.99,17,9,1,1
ANSL_69864,22-11-2018 00:00,11-02-2019 17:59,2,Brown Tabby,0.02,39.96,0,1,1,1
ANSL_57569,20-07-2018 00:00,27-02-2019 16:05,0,Brown,0.78,12.66,0,1,1,4
ANSL_65436,13-05-2016 00:00,06-06-2017 17:46,1,White,0.94,48.13,0,1,0,2
ANSL_70565,20-01-2015 00:00,15-02-2017 12:07,0,Black,0.03,42.89,0,1,1,2
ANSL_61813,21-02-2014 00:00,12-03-2017 12:59,0,Brown,0.28,19.8,0,7,1,2
ANSL_70271,15-01-2010 00:00,02-07-2018 12:07,0,Brown Tabby,0.14,44.63,13,9,1,1
ANSL_56152,02-08-2015 00:00,20-08-2016 16:48,0,Tortie,0.7,41.76,7,1,1,1
ANSL_61426,22-12-2013 00:00,12-01-2019 11:31,0,Black,0.29,20.64,18,4,1,1
ANSL_58009,30-07-2017 00:00,01-11-2017 19:07,0,Black,0.22,49.91,0,1,1,1
ANSL_74743,26-08-2011 00:00,06-11-2018 14:25,1,Buff,0.64,47.49,0,7,0,2
ANSL_61418,26-03-2016 00:00,23-04-2018 18:19,1,Black,0.31,40.43,0,1,0,2
ANSL_51331,16-03-2016 00:00,06-10-2016 14:31,2,Brown,0.76,21.7,13,9,0,2
ANSL_60395,26-12-2009 00:00,17-01-2017 14:19,1,Orange Tabby,0.87,49.8,13,9,0,1
ANSL_70610,26-06-2013 00:00,17-07-2016 08:14,,Brown,0.12,21.89,15,4,2,4
ANSL_52985,20-06-2016 00:00,04-08-2017 17:54,1,Black,0.35,13.94,13,9,0,2
ANSL_65514,18-01-2016 00:00,15-02-2017 00:00,2,Brown,0.41,12.07,13,9,1,2
ANSL_52000,14-01-2018 00:00,11-02-2018 14:50,,Lynx Point,0.08,33.63,13,9,2,1
ANSL_56040,29-08-2014 00:00,19-09-2016 18:40,1,White,0.11,49.56,13,9,0,4
ANSL_67339,03-05-2015 00:00,24-05-2018 00:00,0,Tricolor,0.77,19.38,13,9,1,2
ANSL_63033,20-03-2016 00:00,20-06-2018 14:49,1,Chocolate,0.78,40.9,0,1,0,2
ANSL_71096,03-08-2017 00:00,01-09-2018 18:58,1,Brown,0.87,37.03,0,1,0,2
ANSL_69739,28-12-2014 00:00,04-06-2018 21:55,1,White,0.3,24.09,0,1,0,2
ANSL_74559,16-07-2016 00:00,09-11-2016 17:15,0,Brown,0.65,36.82,0,1,1,2
ANSL_71187,04-02-2016 00:00,13-08-2016 12:05,2,Fawn,0.76,33.21,13,9,1,2
ANSL_75196,13-12-2015 00:00,04-01-2017 17:44,1,Tan,0.55,41.94,0,7,0,2
ANSL_69930,03-11-2016 00:00,22-01-2019 15:34,1,White,0.81,17.78,0,1,0,2
ANSL_58153,24-03-2013 00:00,20-04-2018 18:23,0,Black,0.64,19.98,0,1,1,2
ANSL_73200,30-11-2014 00:00,24-12-2018 17:23,2,Brown,0.98,44.72,9,2,1,2
ANSL_67779,08-10-2017 00:00,01-11-2018 17:16,0,Brown,0.69,43.59,0,1,1,2
ANSL_56949,06-10-2008 00:00,09-08-2017 19:14,1,Cream,0.57,30.65,0,7,0,2
ANSL_72922,14-01-2018 00:00,11-02-2018 14:49,,Brown Tabby,0.05,24.47,13,9,2,1
ANSL_71723,03-09-2018 00:00,25-11-2018 07:29,1,Brown Tabby,0.02,35.12,7,1,0,1
ANSL_71225,12-08-2015 00:00,20-06-2018 14:49,1,Brown,0.95,49.28,0,7,0,2
ANSL_61689,11-08-2016 00:00,03-10-2016 10:02,,Red,0.25,47.26,15,4,2,4
ANSL_57872,01-08-2017 00:00,23-01-2018 09:00,2,Brown Tabby,0.05,42.38,16,9,0,1
ANSL_59685,14-06-2018 00:00,05-01-2019 08:18,,Brown,0.35,34.39,15,4,2,4
ANSL_63147,25-05-2018 00:00,20-08-2018 09:40,1,Cream Tabby,0.56,24.68,7,1,0,1
ANSL_62620,24-10-2015 00:00,14-11-2016 12:08,,Black,0.97,9.84,15,4,2,4
ANSL_55134,26-10-2012 00:00,20-11-2017 17:49,0,Tan,0.87,49.41,0,1,1,2
ANSL_52829,26-08-2014 00:00,13-10-2017 17:07,0,Brown Tabby,0.6,19.82,0,1,1,1
ANSL_71867,20-10-2017 00:00,10-11-2018 13:15,2,Torbie,0.11,48.53,13,9,1,1
ANSL_72564,25-10-2012 00:00,24-11-2016 14:57,1,Black,0.76,7.16,0,1,0,2
ANSL_63899,11-08-2018 00:00,06-12-2018 18:39,1,White,0.58,39.17,0,1,0,1
ANSL_62632,12-06-2007 00:00,31-07-2016 18:25,0,Brown,0.56,10.55,0,1,1,2
ANSL_55365,09-02-2009 00:00,31-12-2017 13:42,0,Tan,0.61,29.7,7,1,1,2
ANSL_50106,06-11-2015 00:00,05-12-2018 16:54,0,Brown,0.91,17.86,0,1,1,2
ANSL_73693,07-07-2017 00:00,29-07-2017 17:32,2,Brown Tabby,0.21,5.81,13,9,0,1
ANSL_60674,30-05-2012 00:00,27-12-2017 15:14,1,Blue,0.3,15.01,7,1,0,2
ANSL_64447,29-09-2018 00:00,28-01-2019 13:08,2,Orange Tabby,0.85,23.1,13,9,1,1
ANSL_49977,04-12-2017 00:00,02-04-2018 13:03,1,Black,0.38,33.51,7,1,0,1
ANSL_71733,05-10-2017 00:00,17-01-2018 12:18,0,Torbie,0.5,47.62,0,1,1,1
ANSL_68147,18-09-2002 00:00,09-10-2016 16:26,1,White,0.07,36.34,0,7,0,2
ANSL_64684,21-07-2014 00:00,23-09-2017 00:00,1,Chocolate,0.97,34.81,13,9,0,2
ANSL_60985,20-04-2004 00:00,10-05-2017 13:55,0,White,0.26,22.1,18,4,1,2
ANSL_65049,16-05-2011 00:00,06-06-2017 17:51,0,White,0.58,39.81,0,7,1,2
ANSL_57590,22-07-2016 00:00,27-10-2016 17:28,1,Black,0.41,8.71,7,1,0,1
ANSL_65354,12-02-2010 00:00,10-07-2017 19:17,1,White,0.59,5.04,0,7,0,2
ANSL_66503,16-11-2016 00:00,27-02-2017 00:00,0,Blue,0.88,13.18,13,9,1,1
ANSL_75790,02-01-2019 00:00,17-04-2019 18:14,0,Brown,0.44,28.66,0,1,1,2
ANSL_66391,12-03-2014 00:00,19-08-2016 17:28,1,White,0.65,33.91,0,1,0,2
ANSL_59992,03-10-2013 00:00,22-10-2018 13:32,1,White,0.39,6.91,0,7,0,2
ANSL_61238,17-10-2016 00:00,10-05-2018 22:38,1,Black,0.93,26.06,12,1,0,2
ANSL_58301,02-06-2017 00:00,14-09-2017 00:00,0,Tan,0.15,37.32,13,9,1,2
ANSL_75074,01-10-2015 00:00,22-10-2016 09:00,2,Blue Tabby,0.68,33.71,16,9,0,1
ANSL_61036,10-06-2006 00:00,22-12-2016 14:45,0,Lynx Point,0.63,23.64,0,1,1,1
ANSL_66724,24-12-2014 00:00,18-01-2017 18:00,0,Chocolate,0.38,45.1,0,1,1,2
ANSL_74056,02-07-2017 00:00,08-10-2017 12:22,0,Black,0.22,13.24,7,1,1,1
ANSL_63591,15-10-2009 00:00,26-03-2019 11:30,1,Black,0.8,40.33,0,1,0,2
ANSL_72690,31-12-2016 00:00,29-01-2019 16:10,0,Gray Tabby,0.11,26.63,0,1,1,1
ANSL_75418,10-03-2018 00:00,08-04-2019 18:30,0,Brown,0.68,42.47,0,1,1,2
ANSL_68323,27-10-2018 00:00,24-11-2018 18:39,2,Blue,0.76,15.79,13,9,1,1
ANSL_65417,17-07-2014 00:00,14-08-2017 10:43,2,Orange Tabby,0.57,20.61,18,4,0,1
ANSL_52073,09-10-2018 00:00,13-01-2019 16:44,1,Orange Tabby,0.34,31.65,0,1,0,1
ANSL_68020,28-11-2015 00:00,18-12-2016 13:44,2,Black,0.55,16.79,0,7,0,2
ANSL_64272,26-11-2016 00:00,16-12-2018 12:22,1,Red,0.28,23.91,0,7,0,2
ANSL_58752,31-01-2017 00:00,21-02-2019 18:20,2,Black,0.5,11.33,13,9,1,2
ANSL_73834,29-12-2015 00:00,07-02-2019 17:26,1,White,0.89,14.67,0,1,0,2
ANSL_72199,14-05-2014 00:00,10-12-2016 17:31,1,Blue Merle,0.1,35.18,0,1,0,2
ANSL_62545,26-07-2009 00:00,14-11-2018 09:53,1,Chocolate,0.51,15.15,0,7,0,2
ANSL_50458,12-07-2017 00:00,19-10-2017 18:37,1,Black,0.44,15.79,7,1,0,1
ANSL_56424,21-09-2013 00:00,21-01-2018 13:10,0,Black,0.52,33.37,0,7,1,2
ANSL_58631,27-06-2018 00:00,10-02-2019 15:07,0,Brown,0.25,21.51,0,1,1,2
ANSL_67247,16-03-2014 00:00,12-05-2017 14:55,1,Black,0.18,39.19,13,9,0,2
ANSL_71960,12-12-2004 00:00,01-01-2018 17:19,2,White,0.64,45.15,0,7,0,2
ANSL_58053,06-09-2017 00:00,27-12-2017 17:36,2,Tan,0.3,23.47,13,9,1,2
ANSL_74729,16-07-2018 00:00,11-10-2018 13:09,1,Black,0.01,43.03,0,1,0,1
ANSL_68436,22-09-2010 00:00,25-02-2017 17:08,1,Blue,0.92,29.36,0,1,0,1
ANSL_70496,09-12-2017 00:00,05-01-2018 19:02,,Lynx Point,0.03,27.56,13,9,2,1
ANSL_59699,12-01-2017 00:00,11-08-2018 11:12,0,Orange Tabby,0.7,22.98,13,9,1,1
ANSL_74078,07-08-2018 00:00,29-08-2018 10:17,2,Sable,0.42,20.7,13,9,0,2
ANSL_63620,21-07-2006 00:00,24-06-2018 16:04,0,Tan,0.06,40.85,13,9,1,2
ANSL_57446,24-06-2016 00:00,24-09-2016 12:24,0,Black,0.63,25.49,0,1,1,1
ANSL_76695,12-04-2018 00:00,09-05-2019 12:00,0,White,0.74,28.13,0,1,1,2
ANSL_76321,07-10-2016 00:00,30-04-2019 16:44,2,Brown,0.6,22.6,0,7,0,2
ANSL_65981,22-06-2016 00:00,12-08-2016 15:14,2,Brown Tabby,0.59,39.5,13,9,1,1
ANSL_70985,08-04-2014 00:00,02-05-2018 11:51,1,Orange Tabby,0.55,40.39,13,9,0,1
ANSL_75270,15-01-2019 00:00,05-04-2019 17:15,2,Brown,0.39,16.53,13,9,1,2
ANSL_61912,30-10-2007 00:00,26-08-2016 14:02,0,Buff,0.2,39.52,0,7,1,2
ANSL_52485,11-11-2016 00:00,12-03-2017 11:37,2,Flame Point,0.5,40.54,18,4,0,1
ANSL_60352,09-11-2015 00:00,31-07-2016 17:48,0,Black,0.83,8.5,0,7,1,2
ANSL_50323,05-08-2014 00:00,30-08-2016 17:19,1,Black,0.61,15.86,0,1,0,2
ANSL_66106,24-07-2018 00:00,25-11-2018 17:47,0,White,0.15,8.59,0,1,1,1
ANSL_51656,21-09-2016 00:00,27-12-2018 16:57,1,Black,0.95,39.01,13,9,0,2
ANSL_59425,13-01-2018 00:00,06-02-2019 19:44,2,Blue,0.53,8.95,17,9,0,1
ANSL_52893,27-11-2009 00:00,18-12-2016 09:00,0,White,0.73,48.76,16,9,1,1
ANSL_69175,10-02-2017 00:00,22-12-2018 13:13,1,Black,0.48,6.69,0,1,0,2
ANSL_74006,13-05-1999 00:00,03-06-2018 10:38,1,Brown,0.77,28.44,13,9,0,2
ANSL_52762,10-02-2018 00:00,31-03-2018 19:00,,Brown,0.36,40.69,0,4,2,4
ANSL_59928,01-07-2014 00:00,30-07-2017 19:22,1,Fawn,0.07,29.68,0,1,0,2
ANSL_74695,28-03-2011 00:00,21-04-2017 16:46,0,Black,0.16,40.76,0,7,1,2
ANSL_72547,13-05-2016 00:00,12-06-2017 18:30,1,Black,0.1,23.37,0,1,0,1
ANSL_68165,05-06-2014 00:00,02-01-2017 14:37,1,Red,0.4,49.89,0,7,0,2
ANSL_67292,16-09-2017 00:00,12-10-2018 11:24,1,Black,0.47,5.02,13,9,0,2
ANSL_71109,17-07-2016 00:00,10-10-2016 18:54,0,Calico,0.3,16.95,0,1,1,1
ANSL_54469,06-07-2017 00:00,18-09-2017 09:14,2,Black,0.85,30.35,0,1,0,1
ANSL_56213,16-11-2016 00:00,03-03-2017 13:01,0,Torbie,0.25,30.32,0,1,1,1
ANSL_63352,08-03-2016 00:00,01-04-2017 12:00,1,Brown,0.47,37.92,0,7,0,2
ANSL_53301,20-07-2012 00:00,18-12-2017 13:39,0,Brown Tabby,0.57,6.08,7,1,1,1
ANSL_65631,23-09-2015 00:00,20-09-2017 13:56,1,Black,0.99,12.9,0,7,0,2
ANSL_59535,04-08-2018 00:00,29-01-2019 00:00,2,Orange Tabby,0.2,31.85,17,9,0,1
ANSL_66915,16-12-2015 00:00,13-01-2017 17:52,1,Brown,0.37,43.47,0,1,0,2
ANSL_70029,23-12-2016 00:00,26-01-2019 12:46,,Black,0.95,30.75,17,9,2,1
ANSL_50792,06-07-2018 00:00,16-10-2018 18:28,0,Black,0.9,23.91,0,1,1,1
ANSL_68812,16-05-2009 00:00,06-06-2017 13:16,0,Sable,0.2,28.07,0,1,1,2
ANSL_60368,24-07-2016 00:00,05-11-2016 17:57,0,Tortie,0.84,39.05,0,1,1,1
ANSL_55482,19-12-2016 00:00,12-07-2017 17:52,1,Tan,0.25,5.81,12,1,0,2
ANSL_67797,10-08-2017 00:00,16-12-2017 09:00,2,Orange Tabby,0.14,23.18,16,9,1,1
ANSL_57686,01-03-2015 00:00,20-03-2018 09:00,0,Black,0.41,23.3,16,9,1,1
ANSL_56099,05-05-2018 00:00,30-08-2018 15:37,2,Black,0.64,32.17,0,1,0,1
ANSL_73581,22-10-2016 00:00,04-12-2016 18:55,,White,0.2,7.82,13,9,2,1
ANSL_73266,15-03-2015 00:00,22-07-2017 14:40,0,Black,0.63,12.9,0,1,1,2
ANSL_55904,11-07-2003 00:00,03-08-2017 15:52,0,Calico,0.15,25,0,7,1,1
ANSL_75184,10-09-2015 00:00,03-10-2016 19:13,2,Brown Tabby,0.16,13.69,13,9,1,1
ANSL_50586,08-06-2017 00:00,04-07-2017 12:37,,Yellow,0.89,6.8,7,1,2,0
ANSL_52960,12-07-2007 00:00,01-08-2018 11:52,0,White,0.1,31.3,0,7,1,2
ANSL_75367,16-09-2013 00:00,07-04-2019 18:51,1,Brown,0.53,40.74,0,1,0,2
ANSL_64811,11-09-2016 00:00,06-06-2017 19:18,2,White,0.68,9.99,16,9,0,1
ANSL_61000,04-07-2016 00:00,29-12-2016 16:54,1,White,0.32,20.3,0,1,0,1
ANSL_66498,09-07-2016 00:00,03-10-2016 13:25,2,Orange Tabby,0.13,11.74,13,9,0,1
ANSL_58733,15-07-2017 00:00,18-10-2017 17:39,1,Cream Tabby,0.3,43.82,7,1,0,1
ANSL_50568,24-11-2009 00:00,03-12-2018 12:59,1,Brown Brindle,0.11,22.6,7,1,0,2
ANSL_59172,13-01-2010 00:00,04-02-2019 15:51,1,Yellow,0.4,27.66,13,9,0,2
ANSL_55913,26-05-2016 00:00,22-05-2017 13:13,1,Black,0.97,18.54,0,1,0,2
ANSL_60176,22-03-2008 00:00,20-04-2018 14:38,1,White,0.48,39.64,0,1,0,2
ANSL_71191,16-12-2017 00:00,10-05-2018 22:37,0,Brown,0.62,38.78,0,1,1,2
ANSL_66058,05-08-2007 00:00,26-08-2018 17:02,0,White,0.98,33.73,0,7,1,2
ANSL_74238,15-11-2014 00:00,10-12-2018 14:41,1,Orange,0.79,36.92,0,1,0,1
ANSL_66104,03-05-2016 00:00,30-10-2016 18:22,0,Black,0.13,14.26,0,1,1,2
ANSL_54940,11-08-2017 00:00,23-09-2017 19:29,2,Black,0.21,24.99,13,9,0,1
ANSL_71308,05-03-2006 00:00,03-04-2018 16:00,1,Sable,0.34,21.78,0,1,0,2
ANSL_71419,24-06-2017 00:00,08-10-2017 14:23,2,Seal Point,0.81,26.05,7,1,1,1
ANSL_75571,18-03-2018 00:00,12-04-2019 16:49,1,Black,0.1,41.12,0,1,0,1
ANSL_58722,10-07-2017 00:00,07-10-2017 17:54,1,Blue,0.13,48.98,7,1,0,1
ANSL_69917,14-10-2010 00:00,17-07-2018 13:06,0,White,0.4,20.98,13,9,1,2
ANSL_59574,16-07-2016 00:00,09-09-2017 16:39,0,White,0.88,49.4,13,9,1,2
ANSL_58304,31-01-2017 00:00,06-04-2018 15:45,0,Black,0.76,27.01,13,9,1,1
ANSL_68998,16-07-2016 00:00,29-10-2016 20:04,1,Black,0.91,42.71,7,1,0,1
ANSL_74520,02-02-2015 00:00,12-03-2017 00:00,2,Buff,0.45,40.65,13,9,0,2
ANSL_63847,27-04-2014 00:00,29-06-2018 15:55,1,Brown,0.81,36.54,0,7,0,2
ANSL_60599,16-07-2010 00:00,25-08-2017 16:56,0,Black,0.66,25.18,0,1,1,1
ANSL_74545,04-10-2016 00:00,16-09-2018 15:02,0,Black,0.44,25.96,0,7,1,2
ANSL_49996,26-06-2013 00:00,25-07-2018 15:29,1,Yellow,0.98,7.8,0,1,0,2
